"Year.of.Observation","Cetacean.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2016,"Blainvilles beaked whale",2,0,1,1,0,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Dalls porpoise",3,-2.35714285714286,1,1.5,-0.5,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Gray whale",7,-1.73333333333333,1,2.4,-1.4,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Harbor porpoise",69,5.13333333333333,10,12.3571428571429,-2.35714285714286,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Humpback whale",6,3.07692307692308,2,1.71428571428571,0.285714285714286,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Northern right whale dolphin",2,0.875,1,1,0,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Pacific white-sided dolphin",3,0.769230769230769,1,1.2,-0.2,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2016,"Striped dolphin",14,9.27272727272727,3,1.5,1.5,0.918916666666667,-0.1863539025,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.26473183760684,0.960809500915751
2017,"Dalls porpoise",3,-2.35714285714286,2,1.5,0.5,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Fin whale",1,-0.8,1,1.5,-0.5,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Gray whale",13,4.26666666666667,4,2.4,1.6,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Harbor porpoise",55,-8.86666666666667,19,12.3571428571429,6.64285714285714,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Minke whale",1,0,1,1,0,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Pacific white-sided dolphin",5,2.76923076923077,2,1.2,0.8,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Sperm whale",2,0.583333333333333,2,1.25,0.75,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Striped dolphin",8,3.27272727272727,2,1.5,0.5,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
2017,"Unidentified",5,0.8,1,1,0,0.140666666666667,-0.834475985,0.5175,NA,11.9916666666667,97.6021416666667,-35.0532833333333,-1.97376666666667,0.45874975,NA,-0.0768571657509158
